experiment,solver,formula,variables,clauses,runtime,conflicts,decisions,restarts,propagations,entropy,backbone,num_sols,chi_square,cpu_time
exp4,wrapper-glucose,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.026995,273,954,3.0,20521,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-4,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.005999,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp5,wrapper-95,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.028995,367,950,2.0,31470,0.0,1.0,1.0,0.0,0.011998
exp2,SWDiA5BY,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.028995,174,791,1.0,17085,0.0,1.0,1.0,0.0,0.011998
exp2,lingeling-aqw,manthey_single-ordered-initialized-w14-b7.cnf,1225,8099,0.1,100,451,,8976,0.0,1.0,1.0,0.0,0.011998
exp5,wrapper-60,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.032994,348,1092,2.0,27284,0.0,1.0,1.0,0.0,0.011998
exp2,glucose,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.025996,179,796,1.0,18100,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-0,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.006998,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-6,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.009998,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp4,wrapper-luby,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.027995,313,1057,3.0,25159,0.0,1.0,1.0,0.0,0.011998
exp1,glucose-NR,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.021996,179,796,1.0,18100,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-1,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.005999,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp5,wrapper-85,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.029995,367,950,2.0,31470,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-3,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.005999,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp2,COMiniSatPS-5,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.004999,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp3,wrapperLBD,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.028995,273,954,3.0,20521,0.0,1.0,1.0,0.0,0.011998
exp5,wrapper-base,vmpc_29.cnf,841,120147,302.586,1795003,3533525,6755.0,238167556,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-3,vmpc_29.cnf,841,120147,415.691,2579318,4684180,9225.0,347096110,0.0,1.0,1.0,0.0,136.608
exp5,wrapper-60,vmpc_29.cnf,841,120147,99.6509,622003,1492469,2680.0,78963380,0.0,1.0,1.0,0.0,136.608
exp2,lingeling-ayv,vmpc_29.cnf,841,120147,3455.9,12240636,25186038,,1401477026,0.0,1.0,1.0,0.0,136.608
exp3,wrapperClause,vmpc_29.cnf,841,120147,489.891,3903778,8207739,20765.0,540913657,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-0,vmpc_29.cnf,841,120147,315.502,1448449,2742096,5239.0,191203114,0.0,1.0,1.0,0.0,136.608
exp2,glucose,vmpc_29.cnf,841,120147,173.672,1270701,2728971,5972.0,170168672,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-5,vmpc_29.cnf,841,120147,1327.13,3610984,6356862,13320.0,472307771,0.0,1.0,1.0,0.0,136.608
exp2,SWDiA5BY,vmpc_29.cnf,841,120147,428.213,2058763,4244160,10849.0,267794385,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-2,vmpc_29.cnf,841,120147,10.9443,145252,299927,524.0,20090949,0.0,1.0,1.0,0.0,136.608
exp3,wrapperLBD,vmpc_29.cnf,841,120147,333.727,1517788,3164382,8600.0,204793242,0.0,1.0,1.0,0.0,136.608
exp4,wrapper-glucose,vmpc_29.cnf,841,120147,250.364,1517788,3164382,8600.0,204793242,0.0,1.0,1.0,0.0,136.608
exp1,glucose-NR,vmpc_29.cnf,841,120147,21.4067,186176,424110,841.0,25046002,0.0,1.0,1.0,0.0,136.608
exp2,lingeling-aqw,vmpc_29.cnf,841,120147,826.6,2688934,7332750,,339033204,0.0,1.0,1.0,0.0,136.608
exp4,wrapper-luby,vmpc_29.cnf,841,120147,295.387,1843955,3469997,3580.0,238446435,0.0,1.0,1.0,0.0,136.608
exp5,wrapper-95,vmpc_29.cnf,841,120147,1291.13,4036562,7313478,16136.0,532977468,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-1,vmpc_29.cnf,841,120147,584.92,3922384,7336144,13264.0,524810266,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-4,vmpc_29.cnf,841,120147,502.986,2015643,3706931,7152.0,267285146,0.0,1.0,1.0,0.0,136.608
exp5,wrapper-85,vmpc_29.cnf,841,120147,198.483,1038865,2050907,5031.0,142904412,0.0,1.0,1.0,0.0,136.608
exp1,glucose,vmpc_29.cnf,841,120147,179.115,1270701,2728971,5972.0,170168672,0.0,1.0,1.0,0.0,136.608
exp2,COMiniSatPS-6,vmpc_29.cnf,841,120147,216.364,1000037,1895193,3780.0,134510674,0.0,1.0,1.0,0.0,136.608
exp4,wrapper-luby,manthey_DimacsSorter_28_4.cnf,3666,11883,100.241,608411,736758,1278.0,199892223,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-6,manthey_DimacsSorter_28_4.cnf,3666,11883,187.261,785828,931036,1602.0,352365246,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-1,manthey_DimacsSorter_28_4.cnf,3666,11883,194.338,899725,1057418,1406.0,404473043,0.000273,0.999727,2.0,0.0,127.047
exp1,glucose-NR,manthey_DimacsSorter_28_4.cnf,3666,11883,610.64,819384,976125,2091.0,227234517,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-3,manthey_DimacsSorter_28_4.cnf,3666,11883,274.477,1107368,1303535,1915.0,500695217,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-5,manthey_DimacsSorter_28_4.cnf,3666,11883,243.224,963970,1117767,1478.0,433032459,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-0,manthey_DimacsSorter_28_4.cnf,3666,11883,222.99,883681,1035506,1443.0,391881111,0.000273,0.999727,2.0,0.0,127.047
exp2,SWDiA5BY,manthey_DimacsSorter_28_4.cnf,3666,11883,137.113,947137,1129297,2155.0,269076386,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-4,manthey_DimacsSorter_28_4.cnf,3666,11883,243.947,1028762,1209323,1741.0,459403733,0.000273,0.999727,2.0,0.0,127.047
exp3,wrapperClause,manthey_DimacsSorter_28_4.cnf,3666,11883,146.179,777870,952422,1934.0,271562284,0.000273,0.999727,2.0,0.0,127.047
exp5,wrapper-base,manthey_DimacsSorter_28_4.cnf,3666,11883,127.595,798492,961031,1598.0,271808624,0.000273,0.999727,2.0,0.0,127.047
exp2,glucose,manthey_DimacsSorter_28_4.cnf,3666,11883,171.326,941999,1142806,2919.0,266002384,0.000273,0.999727,2.0,0.0,127.047
exp1,glucose,manthey_DimacsSorter_28_4.cnf,3666,11883,184.821,941999,1142806,2919.0,266002384,0.000273,0.999727,2.0,0.0,127.047
exp4,wrapper-glucose,manthey_DimacsSorter_28_4.cnf,3666,11883,137.01,892291,1090090,2367.0,306345378,0.000273,0.999727,2.0,0.0,127.047
exp5,wrapper-95,manthey_DimacsSorter_28_4.cnf,3666,11883,157.159,814592,975676,1282.0,278992202,0.000273,0.999727,2.0,0.0,127.047
exp2,lingeling-ayv,manthey_DimacsSorter_28_4.cnf,3666,11883,132.4,671709,827345,,174317321,0.000273,0.999727,2.0,0.0,127.047
exp5,wrapper-85,manthey_DimacsSorter_28_4.cnf,3666,11883,99.1029,755975,912039,1695.0,261925430,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-2,manthey_DimacsSorter_28_4.cnf,3666,11883,216.206,909058,1075861,1758.0,408259484,0.000273,0.999727,2.0,0.0,127.047
exp3,wrapperLBD,manthey_DimacsSorter_28_4.cnf,3666,11883,158.306,892291,1090090,2367.0,306345378,0.000273,0.999727,2.0,0.0,127.047
exp2,lingeling-aqw,manthey_DimacsSorter_28_4.cnf,3666,11883,460.4,1464249,2418477,,364525163,0.000273,0.999727,2.0,0.0,127.047
exp5,wrapper-60,manthey_DimacsSorter_28_4.cnf,3666,11883,488.004,1800676,2227498,4444.0,514227485,0.000273,0.999727,2.0,0.0,127.047
exp2,COMiniSatPS-6,46bits_12.dimacs.cnf,697,17080,381.984,860019,1000774,1883.0,91529860,0.1033,0.8967,2.0,0.0,82.8844
exp5,wrapper-base,46bits_12.dimacs.cnf,697,17080,457.291,1086355,1242151,3042.0,107368457,0.1033,0.8967,2.0,0.0,82.8844
exp2,SWDiA5BY,46bits_12.dimacs.cnf,697,17080,480.028,1120662,1259122,2215.0,111065898,0.1033,0.8967,2.0,0.0,82.8844
exp5,wrapper-60,46bits_12.dimacs.cnf,697,17080,1042.42,1710065,2065949,4075.0,139866680,0.1033,0.8967,2.0,0.0,82.8844
exp4,wrapper-glucose,46bits_12.dimacs.cnf,697,17080,545.228,1152656,1317615,3463.0,111318075,0.1033,0.8967,2.0,0.0,82.8844
exp5,wrapper-95,46bits_12.dimacs.cnf,697,17080,168.755,628789,802960,1741.0,44145305,0.1033,0.8967,2.0,0.0,82.8844
exp3,wrapperClause,46bits_12.dimacs.cnf,697,17080,286.024,778006,897698,2472.0,76210993,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-4,46bits_12.dimacs.cnf,697,17080,592.867,1491536,1701856,1906.0,145846932,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-5,46bits_12.dimacs.cnf,697,17080,226.874,607015,685160,1201.0,61824987,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-1,46bits_12.dimacs.cnf,697,17080,573.761,2391267,2698132,3119.0,253653615,0.1033,0.8967,2.0,0.0,82.8844
exp4,wrapper-luby,46bits_12.dimacs.cnf,697,17080,422.842,977745,1106193,2046.0,95813393,0.1033,0.8967,2.0,0.0,82.8844
exp1,glucose-NR,46bits_12.dimacs.cnf,697,17080,1183.93,785332,888949,1769.0,75444734,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-2,46bits_12.dimacs.cnf,697,17080,430.564,1466582,1723675,2125.0,130528780,0.1033,0.8967,2.0,0.0,82.8844
exp2,glucose,46bits_12.dimacs.cnf,697,17080,353.575,1315954,1482298,2665.0,129739531,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-0,46bits_12.dimacs.cnf,697,17080,648.473,1280596,1501631,2148.0,114551235,0.1033,0.8967,2.0,0.0,82.8844
exp5,wrapper-85,46bits_12.dimacs.cnf,697,17080,426.047,1053747,1294817,3355.0,88739506,0.1033,0.8967,2.0,0.0,82.8844
exp1,glucose,46bits_12.dimacs.cnf,697,17080,449.853,1315954,1482298,2665.0,129739531,0.1033,0.8967,2.0,0.0,82.8844
exp2,COMiniSatPS-3,46bits_12.dimacs.cnf,697,17080,444.361,1503528,1767234,2190.0,133755954,0.1033,0.8967,2.0,0.0,82.8844
exp3,wrapperLBD,46bits_12.dimacs.cnf,697,17080,730.491,1152656,1317615,3463.0,111318075,0.1033,0.8967,2.0,0.0,82.8844
exp2,lingeling-aqw,46bits_12.dimacs.cnf,697,17080,482.4,1461488,1679521,,143888211,0.1033,0.8967,2.0,0.0,82.8844
exp2,lingeling-ayv,46bits_12.dimacs.cnf,697,17080,383.5,1225801,1366406,,118269360,0.1033,0.8967,2.0,0.0,82.8844
exp2,lingeling-aqw,46bits_11.dimacs.cnf,689,16922,524.3,1767792,1996172,,167469420,0.085631,0.914369,2.0,0.0,803.63
exp2,lingeling-ayv,46bits_11.dimacs.cnf,689,16922,12.6,37488,53312,,2319976,0.085631,0.914369,2.0,0.0,803.63
exp1,glucose-NR,46bits_11.dimacs.cnf,689,16922,5347.85,1597839,1801114,4262.0,157037310,0.085631,0.914369,2.0,0.0,803.63
exp2,glucose,46bits_11.dimacs.cnf,689,16922,600.395,1625734,1841665,3834.0,166086388,0.085631,0.914369,2.0,0.0,803.63
exp1,glucose,46bits_11.dimacs.cnf,689,16922,473.035,1625734,1841665,3834.0,166086388,0.085631,0.914369,2.0,0.0,803.63
exp4,wrapper-luby,46bits_11.dimacs.cnf,689,16922,830.603,1798286,2020898,3497.0,179896435,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-6,46bits_11.dimacs.cnf,689,16922,522.248,866711,991900,2553.0,93799104,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-1,46bits_11.dimacs.cnf,689,16922,292.611,1696289,1979340,2418.0,153516573,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-5,46bits_11.dimacs.cnf,689,16922,972.305,1386946,1569084,3513.0,158570345,0.085631,0.914369,2.0,0.0,803.63
exp5,wrapper-base,46bits_11.dimacs.cnf,689,16922,174.851,501800,596032,1706.0,44887921,0.085631,0.914369,2.0,0.0,803.63
exp2,SWDiA5BY,46bits_11.dimacs.cnf,689,16922,1741.3,2029096,2295758,5337.0,207230198,0.085631,0.914369,2.0,0.0,803.63
exp4,wrapper-glucose,46bits_11.dimacs.cnf,689,16922,1475.86,1945089,2248136,7395.0,189710114,0.085631,0.914369,2.0,0.0,803.63
exp5,wrapper-95,46bits_11.dimacs.cnf,689,16922,662.08,1282226,1478407,4555.0,135300988,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-4,46bits_11.dimacs.cnf,689,16922,31.1773,155752,183828,323.0,13653535,0.085631,0.914369,2.0,0.0,803.63
exp5,wrapper-60,46bits_11.dimacs.cnf,689,16922,997.008,1492488,1750227,4257.0,131240894,0.085631,0.914369,2.0,0.0,803.63
exp3,wrapperClause,46bits_11.dimacs.cnf,689,16922,4394.76,4454365,5029931,9934.0,449232023,0.085631,0.914369,2.0,0.0,803.63
exp5,wrapper-85,46bits_11.dimacs.cnf,689,16922,178.233,641474,834294,2485.0,42462612,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-0,46bits_11.dimacs.cnf,689,16922,1162.35,2160315,2482554,2579.0,203345727,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-3,46bits_11.dimacs.cnf,689,16922,1369.0,2887348,3262952,4948.0,307015154,0.085631,0.914369,2.0,0.0,803.63
exp2,COMiniSatPS-2,46bits_11.dimacs.cnf,689,16922,636.192,1862848,2136433,3230.0,189396232,0.085631,0.914369,2.0,0.0,803.63
exp3,wrapperLBD,46bits_11.dimacs.cnf,689,16922,1771.99,1945089,2248136,7395.0,189710114,0.085631,0.914369,2.0,0.0,803.63
exp1,glucose-NR,mrpp_6x6#10_8.cnf,3893,25462,0.135979,5740,25432,25.0,228019,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-4,mrpp_6x6#10_8.cnf,3893,25462,0.172973,5956,111957,36.0,922951,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp5,wrapper-95,mrpp_6x6#10_8.cnf,3893,25462,0.293955,9842,48500,55.0,462593,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp4,wrapper-glucose,mrpp_6x6#10_8.cnf,3893,25462,0.19597,5307,27649,29.0,214442,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-5,mrpp_6x6#10_8.cnf,3893,25462,0.201969,5991,114354,37.0,959543,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp5,wrapper-85,mrpp_6x6#10_8.cnf,3893,25462,0.185971,5349,26985,40.0,238962,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-1,mrpp_6x6#10_8.cnf,3893,25462,0.184971,6562,108266,54.0,932972,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp3,wrapperClause,mrpp_6x6#10_8.cnf,3893,25462,0.185971,5223,29635,28.0,220706,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,lingeling-aqw,mrpp_6x6#10_8.cnf,3893,25742,1.0,3318,81732,,553549,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,glucose,mrpp_6x6#10_8.cnf,3893,25462,0.266959,9529,41988,39.0,385530,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp3,wrapperLBD,mrpp_6x6#10_8.cnf,3893,25462,0.19197,5307,27649,29.0,214442,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-2,mrpp_6x6#10_8.cnf,3893,25462,0.279957,6562,108266,54.0,932972,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-0,mrpp_6x6#10_8.cnf,3893,25462,0.275958,6562,108266,54.0,932972,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,lingeling-ayv,mrpp_6x6#10_8.cnf,3893,25742,0.8,2989,61862,,410798,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-3,mrpp_6x6#10_8.cnf,3893,25462,0.223965,7220,114533,49.0,1067718,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,SWDiA5BY,mrpp_6x6#10_8.cnf,3893,25462,0.304953,10269,49456,36.0,422130,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp5,wrapper-base,mrpp_6x6#10_8.cnf,3893,25462,0.228965,6929,37531,46.0,295901,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp5,wrapper-60,mrpp_6x6#10_8.cnf,3893,25462,0.302953,9995,48908,66.0,454465,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-6,mrpp_6x6#10_8.cnf,3893,25462,0.313952,7746,104605,65.0,1045189,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp4,wrapper-luby,mrpp_6x6#10_8.cnf,3893,25462,0.189971,9233,42515,39.0,374663,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp1,glucose,mrpp_6x6#10_8.cnf,3893,25462,0.181972,9529,41988,39.0,385530,0.429268,0.438479,2.38103e+116,0.0,0.288956
exp2,COMiniSatPS-5,44bits_11.dimacs.cnf,609,15417,233.193,708534,817562,2347.0,60994676,0.101806,0.898194,2.0,0.0,237.377
exp1,glucose,44bits_11.dimacs.cnf,609,15417,857.099,2453439,2827430,3493.0,166162148,0.101806,0.898194,2.0,0.0,237.377
exp2,lingeling-aqw,44bits_11.dimacs.cnf,609,15417,492.2,1578799,1758318,,117443173,0.101806,0.898194,2.0,0.0,237.377
exp2,SWDiA5BY,44bits_11.dimacs.cnf,609,15417,1405.49,2522873,2874690,2985.0,170187482,0.101806,0.898194,2.0,0.0,237.377
exp3,wrapperClause,44bits_11.dimacs.cnf,609,15417,677.203,1364152,1579382,4891.0,108059717,0.101806,0.898194,2.0,0.0,237.377
exp2,COMiniSatPS-2,44bits_11.dimacs.cnf,609,15417,68.3226,307582,358377,926.0,24231951,0.101806,0.898194,2.0,0.0,237.377
exp2,COMiniSatPS-0,44bits_11.dimacs.cnf,609,15417,154.732,517987,602612,1816.0,43520328,0.101806,0.898194,2.0,0.0,237.377
exp2,COMiniSatPS-3,44bits_11.dimacs.cnf,609,15417,114.103,541544,628599,1770.0,45361834,0.101806,0.898194,2.0,0.0,237.377
exp2,COMiniSatPS-1,44bits_11.dimacs.cnf,609,15417,117.206,667714,769196,2042.0,56237527,0.101806,0.898194,2.0,0.0,237.377
exp2,glucose,44bits_11.dimacs.cnf,609,15417,706.631,2453439,2827430,3493.0,166162148,0.101806,0.898194,2.0,0.0,237.377
exp2,COMiniSatPS-6,44bits_11.dimacs.cnf,609,15417,69.6814,282807,331166,916.0,22064360,0.101806,0.898194,2.0,0.0,237.377
exp1,glucose-NR,44bits_11.dimacs.cnf,609,15417,983.481,945782,1130815,2832.0,48956073,0.101806,0.898194,2.0,0.0,237.377
exp4,wrapper-glucose,44bits_11.dimacs.cnf,609,15417,607.04,1225877,1446719,2591.0,86872027,0.101806,0.898194,2.0,0.0,237.377
